"","CXQ_T_tpm","GY_T_tpm","HCM_T_tpm","LGL_T_tpm","MYP_T_tpm","SMJ_T_tpm","XB_T_tpm","CXQ_N_tpm","GY_N_tpm","HCM_N_tpm","LGL_N_tpm","MYP_N_tpm","SMJ_N_tpm","XB_N_tpm"
"ABLIM3",2.47818856625798,5.74303204606512,3.05646071221502,2.64691855895024,3.84161958350709,3.55971942514981,2.67778131679062,3.48038815848049,3.46801398941696,2.38645268402827,2.37190811483368,2.73568805614852,2.18518256940515,3.01316002576317
"ABO",13.2170056867092,9.57172007677521,6.8770366024838,15.8815113537015,5.37826741690992,2.66978956886236,21.4222505343249,25.5228464955236,17.3400699470848,33.4103375763958,21.3471730335031,15.502232318175,24.0370082634566,19.5855401674606
"ABR",51.2158970359983,46.9014283761985,51.9598321076554,55.5852897379551,19.9764218342369,32.0374748263483,53.5556263358123,53.3659517633675,71.6722891146171,58.4680907586927,72.3431975024272,42.8591128796602,60.0925206586416,36.157920309158
"ABRACL",85.91053696361,94.7600287600745,45.0827955051716,59.9968206695388,113.71193967181,72.974248215571,79.440845731455,128.774361863778,95.9483870405358,167.051687881979,113.851589512017,86.6301217780365,128.925771594904,129.565881107816
"ABRAXAS1",2.47818856625798,2.87151602303256,6.8770366024838,3.52922474526699,3.07329566680567,4.44964928143726,2.67778131679062,4.64051754464065,3.46801398941696,2.38645268402827,3.55786217225052,3.64758407486469,2.18518256940515,1.50658001288158
"ABRAXAS2",9.91275426503192,6.70020405374264,8.40526695859131,7.94075567685073,7.68323916701418,11.5690881317369,7.14075017810831,8.12090570312114,9.24803730511189,8.35258439409895,8.30167840191787,8.20706416844556,7.64813899291802,6.02632005152634
"ABT1",6.60850284335461,8.61454806909769,8.40526695859131,9.70536804948422,7.68323916701418,5.33957913772471,14.2815003562166,9.2810350892813,6.93602797883392,8.35258439409895,7.11572434450103,7.29516814972939,8.74073027762059,12.0526401030527
"ABTB1",6.60850284335461,11.4860640921302,12.9899580269138,5.29383711790049,10.7565348338198,7.11943885029961,17.8518754452708,10.4411644754415,6.93602797883392,14.3187161041696,8.30167840191787,8.20706416844556,8.74073027762059,7.53290006440792
"ABTB2",4.13031427709663,2.87151602303256,2.29234553416127,2.64691855895024,1.53664783340284,3.55971942514981,4.46296886131769,3.48038815848049,1.15600466313899,8.35258439409895,2.37190811483368,2.73568805614852,4.3703651388103,4.51974003864475
"ABTB3",1.65212571083865,0.957172007677521,1.52823035610751,0,0.768323916701418,3.55971942514981,0,0,0,0,0,0.911896018716174,0,0
"ACAA1",53.6940856022562,47.858600383876,32.8569526563115,78.5252505821905,42.257815418578,41.8267032455102,72.3000955533467,93.9704802789732,52.0202098412544,122.902313227456,88.9465543062629,47.418592973241,87.4073027762059,108.473760927474
"ACAA2",52.0419598914176,152.190349220726,119.96608295444,254.104181659223,37.6478719183695,113.911021604794,39.2741259795957,182.140313627146,315.589273036943,361.547581630283,228.88913308145,119.458378451819,286.258916592074,167.230381429856
"ACACA",19.8255085300638,17.2290961381954,9.16938213664506,37.0568598253034,19.9764218342369,13.3489478443118,15.1740941284802,9.2810350892813,8.0920326419729,5.96613171007068,11.8595405741684,13.6784402807426,9.83332156232317,10.5460600901711
